indicator,date,rate
close,2021-08-27 14:15:00,19.745
open,2021-08-27 14:14:00,19.75
high,2021-08-27 14:14:00,19.755
low,2021-08-27 14:14:00,19.75
close,2021-08-27 14:14:00,19.755
open,2021-08-27 14:13:00,19.745
high,2021-08-27 14:13:00,19.75
low,2021-08-27 14:13:00,19.745
close,2021-08-27 14:13:00,19.75
open,2021-08-27 14:12:00,19.7325
high,2021-08-27 14:12:00,19.75
low,2021-08-27 14:12:00,19.7325
close,2021-08-27 14:12:00,19.75
open,2021-08-27 14:11:00,19.735
high,2021-08-27 14:11:00,19.735
low,2021-08-27 14:11:00,19.735
close,2021-08-27 14:11:00,19.735
open,2021-08-27 14:10:00,19.745
high,2021-08-27 14:10:00,19.745
low,2021-08-27 14:10:00,19.735
close,2021-08-27 14:10:00,19.735
open,2021-08-27 14:09:00,19.745
high,2021-08-27 14:09:00,19.745
low,2021-08-27 14:09:00,19.74
close,2021-08-27 14:09:00,19.74
open,2021-08-27 14:07:00,19.74
high,2021-08-27 14:07:00,19.745
low,2021-08-27 14:07:00,19.74
close,2021-08-27 14:07:00,19.745
open,2021-08-27 14:06:00,19.74
high,2021-08-27 14:06:00,19.7452
low,2021-08-27 14:06:00,19.735
close,2021-08-27 14:06:00,19.7452
open,2021-08-27 14:05:00,19.755
high,2021-08-27 14:05:00,19.755
low,2021-08-27 14:05:00,19.74
close,2021-08-27 14:05:00,19.74
open,2021-08-27 14:04:00,19.755
high,2021-08-27 14:04:00,19.755
low,2021-08-27 14:04:00,19.755
close,2021-08-27 14:04:00,19.755
